district,latitude,longitude
24 parganas (NORTH DISTRICT),22.5919675,88.39957005
24 PARGANAS (SOUTH DISTRICT),22.5919675,88.39957005
ADILABAD,19.6759452,78.5339895
AGAR,23.7127275,76.0176929
AGRA,27.1752554,78.0098161
AHMADABAD,23.0216238,72.5797068
AHMADNAGAR,19.25,74.75
AJMER,26.4691,74.639
AKOLA,20.77031765,77.19080604
ALAPPUZHA,9.460189,76.28433466
ALIGARH,27.8815412,78.0690216
ALIRAJPUR,22.29186455,74.35774313
ALLAHABAD,25.4381302,81.8338005
ALMORA,29.6016827,79.6633829
ALWAR,27.5,76.5
AMBALA,30.3843674,76.770421
AMBEDKAR NAGAR,26.40349795,82.60728149
AMRAVATI,21.0857492,77.666978
AMRELI,20.866667,70.75
AMRITSAR,31.6343083,74.8736788
ANAND,22.5584995,72.9625629
ANANTNAG,33.7366359,75.1457394
ANANTPUR,13.5831868,78.521165
ANUGUL,20.8411255,85.08040066
ANUPPUR,23.03480545,81.75026641
ARARIA,26.26673945,87.35618411
ARIYALUR,11.1357708,79.0723203
ARWAL,25.18670025,84.67069631
ASHOKNAGAR,24.576189,77.7302895
AURAIYA,26.5193129,79.46988383
AURANGABAD,24.75,84.5
AZAMGARH,26,83
BADAUN,27.94225275,79.20666095
BADGAM,33.9195027,74.63709185
BAGALKOT,16.1853166,75.6967919
BAGESHWAR,29.8084257,79.7817012
BAGHPAT,29.03877105,77.30757938
BAHRAICH,27.49816515,81.79547674
BAKSA,26.62781825,91.46148578
BALAGHAT,21.8133417,80.1916685
BALANGIR,20.75,83.25
BALASORE,21.5017098,86.9216712
BALLIA,25.833333,84.166667
BALRAMPUR,27.4295126,82.1854602
BANAS KANTHA,24.25,72.5
BANDA,25.5008211,80.499762
BANGALORE (RURAL),13.0010872,77.3361225
BANGALORE (URBAN),12.94514225,77.553645
BANKA,24.83332585,86.81339315
BANKURA,23.25,87.25
BANSWARA,23.5,74.333333
BARABANKI,26.93823105,81.38609761
BARAMULLA,34.2086903,74.343498
BARAN,24.921569,76.68279975
BARDDHAMAN,23.25,87.75
BAREILLY,28.3523609,79.4096542
BARGARH,21.3474637,83.65427922
BARMER,25.75,71.5
BARNALA,30.3762012,75.5435927
BARPETA,26.34142215,91.01674328
BARWANI,22.0333621,74.8978374
BASTAR,19.44566365,81.48281685
BASTI,26.724789,82.79326865
BAUDH,20.6407463,83.99697043
BEED,18.9904059,75.7542291
BEGUSARAI,25.5,86.25
BELGAUM,15.8572666,74.5069343
BELLARY,15.1467299,76.9125211
BETUL,21.833333,77.833333
BHADRAK,20.86496315,87.02480343
BHAGALPUR,25.2494829,86.9828131
BHANDARA,21.183333,80
BHARATPUR,27.26593395,77.36729605
BHARUCH,21.75,73
BHATINDA,30.25,75
BHAVNAGAR,21.7718836,72.1416449
BHILWARA,25.5,74.75
BHIND,26.5,78.75
BHIWANI,28.7931703,76.1391283
BHOJPUR,25.25,84.25
BHOPAL,23.2530923,77.3962718
BIDAR,18.083333,77.333333
BIJAPUR,18.7935679,80.815939
BIJNOR,29.416667,78.516667
BIKANER,28.0159286,73.3171367
BILASPUR,22.0785627,82.1476475
BIRBHUM,24.0588937,87.69225597
BISHNUPUR,24.56246365,93.80124837
BONGAIGAON,26.4800126,90.5580387
BULANDSHAHAR,28.5246712,77.5996529
BULDANA,20.583333,76.416667
BUNDI,25.5,75.833333
BURHANPUR,21.3118839,76.2291992
BUXAR,25.5063478,84.10471171
BALOD,20.73218365,81.14335738
CACHAR,24.75863995,92.88166476
CENTRAL,28.4808629,77.0848883
CHAMARAJANAGAR,11.8142415,76.6862591
CHAMBA,32.5,76.5
CHAMOLI,30.5,79.5
CHAMPARAN(EAST),27,84.5
CHAMPARAN(WEST),27,84.5
CHAMPAWAT,29.3372715,80.0920862
CHAMPHAI,23.69082385,93.3483912
CHANDAULI,25.26561635,83.40637373
CHANDIGARH,30.7194022,76.7646552
CHANDRAPUR,20,80
CHANGLANG,27.272007,96.06552596
CHENNAI(MADRAS),13.083316,80.2787044
CHHATARPUR,24.75,79.75
CHHINDWARA,22.116667,78.8
CHIKKABALLAPUR,13.4352549,77.7306866
CHIKMAGALUR,13.5,75.5
CHIRANG,26.6464231,90.62415699
CHITRADURGA,14.2266443,76.4005122
CHITRAKOOT,25.2195207,81.10228243
CHITTAURGARH,24.5,74.5
CHITTOOR,13.30374115,78.98770102
CHUR,28.5,74.5
COIMBATORE,11.0018115,76.9628425
CUDDALORE,11.74269375,79.75030644
CUTTACK,20.4686,85.8792
DAMOH,23.75,79.583333
DANGS,20.78948825,73.71834746
DARBHANGA,26.1569653,85.8995119
DARJILING,26.75,88.25
DARRANG,26.75,92.5
DATIA,25.75,78.5
DAUSA,26.8146993,76.45191615
DAVANGERE,14.4664457,75.91975079
DEBAGARH,21.5934771,84.7433017
DEHRADUN,30.3255646,78.0436813
DEORIA,26.666667,83.75
DEWAS,23,76.166667
DHALAI,23.8253158,91.97322267
DHAMTARI,20.53727665,81.70915146
DHAR,22.5,75.25
DHARMAPURI,12.1347988,78.1589864
DHARWAD,15.4540505,75.0066516
DHAULPUR,26.7009896,77.8967857
DHEMAJI,27.4668315,94.51786509
DHENKANAL,20.75,85.5
DHUBRI,26.01894625,89.94188952
DHULE,20.898,74.7732
DIBRUGARH,27.4844597,94.9019447
DIMAPUR,25.9135914,93.7283707
DINDIGUL,10.3655408,77.9695854
DINDORI,22.9446796,81.0774969
DODA,33.7216495,76.4908802
DUNGARPUR,23.666667,73.75
DURG,21.44201085,81.39983533
E KAMENG,27.3,93.05
E SIANG,28.3,95.15
EAST,28.4808629,77.0848883
EAST DISTRICT,27.333333,88.666667
EAST GARO HILLS,25.61849455,90.63421622
EAST GODAVARI,17.233496,81.7225986
EAST KHASI HILLS,25.4206558,91.83136756
EAST NIMAR (KHANDWA),21.75,76.583333
ERNAKULAM,10.0383947,76.50741452
ERODE,11.3306483,77.7276519
ETAH,27.5,78.75
ETAWAH,26.8063069,78.9969944
FAIZABAD,26.75,82
FARIDABAD,28.402837,77.3085626
FARIDKOT,30.6729772,74.7517033
FARRUKHABAD,27.3091827,79.45183831
FATEHABAD,29.5337732,75.56465147
FATEHGARH SAHIB,30.6466737,76.3887563
FATEHPUR,25.75,80.75
FAZILKA,30.4066889,74.0305245
FEROZPUR,30.598744,74.2032581
FIROZABAD,27.17736635,78.38991198
GADAG,15.4263647,75.6300786
GADCHIROLI,19.7563107,80.15844303
GAJAPATI,19.19557415,84.19297736
GANDERBAL,34.28345985,75.03462246
GANDHINAGAR,23.2232877,72.6492267
GANGANAGAR,29.5,74
GANJAM,19.5,84.5
GAYA,24.7964355,85.0079563
GHAZIABAD,28.711241,77.4445372
GHAZIPUR,25.5,83.5
GOA NORTH,15.6204523,73.7648309
GOA SOUTH,15.6204523,73.7648309
GOALPARA,26.04918765,90.60018586
GOLAGHAT,26.40490095,94.03209112
GONDA,27.25,82
GONDIYA,21.1387231,80.25856501
GOPALGANJ,26.5,84.333333
GORAKHPUR,26.7600217,83.3668129
GULBARGA,17.3310003,76.8334228
GUNA,24.5,77.5
GUNTUR,16.2915189,80.4541588
GURDASPUR,32.166667,75.316667
GURGAON,28.4646148,77.0299194
GWALIOR,26.2,78.2
GARIYABAND,20.52684285,82.187831
HAILAKANDI,24.68845365,92.57381528
HAMIRPUR,31.7491333,76.5036832
HANUMANGARH,29.3665429,74.29300426
HARDA,22.3388828,77.0929933
HARDOI,27.4164715,80.2473372
HARIDWAR,29.9384473,78.1452985
HASSAN,13.0070817,76.0992703
HAVERI,14.7874825,75.3996731
HINGOLI,19.536427,77.21804148
HISSAR,29.9985207,76.5929517
HOOGHLY,24.5109942,88.074211
HOSHANGABAD,22.6503147,77.7509281
HOSHIARPUR,31.5328523,75.9025485
HOWRAH,22.4914615,88.02928966
HYDERABAD,17.38878595,78.46106473
IDUKKI,9.8497872,76.9797914
IMPHAL EAST,24.85154025,94.00947958
IMPHAL WEST,24.757326,93.85847858
INDORE,22.7203851,75.8682103
JABALPUR,23.1608938,79.9497702
JAGATSINGHAPUR,20.05297835,86.56603003
JAIPUR,26.916194,75.820349
JAISALMER,26.9116615,70.9124888
JAJAPUR,20.8277892,86.37983526
JALANDHAR,31.3323762,75.576889
JALAUN,26.10520395,79.4266263
JALGAON,21.0137606,75.5627048
JALNA,19.96549,75.82704636
JALOR,25.166667,72.25
JALPAIGURI,26.5242688,88.7201082
JAMM,32.7185614,74.8580917
JAMNAGAR,22.25,70
JAMUI,24.7565748,86.29771957
JANJGIR-CHAMPA,21.9671264,82.66472425
JASHPUR,22.76678355,83.95304519
JAUNPUR,25.7472,82.689
JEHANABAD,25.2113384,84.9873701
JHABUA,22.8750396,74.7128601
JHAJJAR,28.6066833,76.6580764
JHALAWAR,24.416667,76.25
JHANSI,25.4502464,78.5800085
JHARSUGUDA,21.87705125,84.00905064
JHUNJHUN,28.1287995,75.3992581
JIND,29.5,76.25
JODHPUR,26.2967719,73.0351433
JORHAT,26.7577925,94.2079645
JUNAGADH,21.25,70.333333
KACHCHH,23.583333,70
KAIMUR,24.97784445,83.57319693
KAITHAL,29.7996588,76.3989903
KALAHANDI,19.75,83
KAMRUP,26.12755515,91.29987148
KAMRUP METROPOLITAN,26.13526375,91.86167063
KANCHEEPURAM,12.637438,80.0459143
KANDHAMAL,20.13069385,84.07904761
KANGRA,32.166667,76.25
KANKER(NORTH BASTAR),20.2692747,81.4932111
KANNAUJ,27.0536345,79.9201719
KANPUR CITY,26.4609135,80.3217588
KANPUR DEHAT,26.4600465,79.85551
KAPURTHALA,31.25,75.25
KARAIKAL,10.91571,79.8375761
KARAULI,26.51626005,77.05590978
KARBI-ANGLONG,26,93.5
KARIMGANJ,24.8483482,92.33221292
KARIMNAGAR,18.4346438,79.1322648
KARNAL,29.6803266,76.9896254
KARUR,10.9604046,78.077561
KASARGOD,12.4914722,74.9877613
KATHUA,32.3765524,75.5243044
KATIHAR,25.5433817,87.5690417
KATNI,23.8339621,80.392456
KAUSHAMBI,25.53609455,81.44672839
KAWARDHA (KABIRDHAM),22.0059254,81.2332055
KEONJHAR,21.5,85.5
KHAGARIA,25.49224065,86.69561901
KHAMMAM,17.2465351,80.1500326
KHEDA,22.75,72.833333
KHERI,28.116667,80.716667
KHORDHA,20.22564715,85.56059465
KINNAUR,31.586346,78.3968441
KISHANGANJ,26.248453,87.90089569
KISHTWAR,33.62512475,75.92105923
KOCH BIHAR,26.25,89.5
KOKRAJHAR,26.58687695,90.29293105
KOLAR,13.1369996,78.1339606
KOLHAPUR,16.6603273,74.19600379
KOLLAM,8.8870537,76.5907058
KOPPAL,15.3484144,76.1547421
KORAPUT,19,83
KORBA,22.51976955,82.62951462
KORIYA,23.4396961,82.30967805
KOTA,25,76.5
KOTTAYAM,9.5994382,76.55399923
KOZHIKODE,11.2446144,75.7759372
KRISHNA,16.6691525,80.7190024
KRISHNAGIRI,12.5136136,78.17402519
KULGAM,33.63355885,74.69008704
KULL,32.00186325,77.3789964
KUPWARA,34.5266079,74.2567173
KURNOOL,15.8309251,78.0425373
KONDAGAON,19.70436465,81.74655021
LAHUL AND SPITI,32.5038495,77.58227188
LAKHIMPUR,27.0827158,93.9978423
LALITPUR,24.726439,78.50301807
LATUR,18.3983393,76.562087
LAWNGTLAI,22.34596495,92.81195361
LOHIT,27.8239052,95.861898
LONGLENG,26.49031725,94.77214247
LUCKNOW,26.8381,80.9346001
LUDHIANA,30.9090157,75.851601
LUNGLEI,22.898553,92.75192292
MADHEPURA,25.9174142,86.7915907
MADHUBANI,26.34803585,86.22727366
MADURAI,9.9261153,78.1140983
MAHABOOBNAGAR,16.380221,78.0744052
MAHASAMUND,21.1882332,82.48484763
MAHE,11.7021978,75.5364701
MAHESANA,23.666667,72.5
MAHOBA,25.3697571,79.97990417
MAINPURI,27.166667,79
MALDAH,25,88
MALKANGIRI,18.35835435,81.89823749
MAMIT,23.75590845,92.45173569
MANDI,31.6723392,76.95331691
MANDLA,22.5986352,80.3713545
MANDSAUR,24.333333,75.25
MANDYA,12.5238888,76.8961961
MANSA,29.9946852,75.4022224
MATHURA,27.4955539,77.6855554
MA,25.2396033,81.33715165
MAYURBHANJ,21.75,86.5
MEDAK,17.9375095,78.21174499
MEERUT,28.9963296,77.7061915
MEWAT,27.99458775,76.99369132
MIRZAPUR,25.1010477,82.62574936
MOGA,30.79212755,75.14613426
MON,26.666667,95
MORADABAD,28.90919285,78.81392764
MORENA,26.166667,77.5
MUKTSAR,30.2828494,74.51283769
MUMBAI,18.9387711,72.8353355
MUNGER,25,86.25
MURSHIDABAD,24.1745993,88.2721335
MUZAFFARNAGAR,29.44800635,77.74068503
MUZAFFARPUR,26.1182898,85.3857888
MYSORE,12.3051828,76.6553609
MUMBAI SUBURBAN,19.13095765,72.88593095
MUNGELI,22.24527095,81.65362248
NADIA,23.25,88.5
NAGAON,26.30414915,92.71605974
NAGAPATTINAM,10.7647952,79.8430779
NAGAUR,27.0237969,74.2037201
NAGPUR,21.1500964,79.0127049
NAINITAL,29.3920381,79.4555358
NALANDA,25.1364914,85.44365465
NALBARI,26.42386165,91.45122755
NALGONDA,16.8579636,79.21749353
NAMAKKAL,11.2191692,78.16787
NANDED,18.916667,77.5
NANDURBAR,21.363778,74.2411418
NARAYANPUR,19.7191529,81.244411
NARMADA,23.1285587,72.1373584
NASIK,19.9615591,73.8316941
NAVSARI,20.952407,72.9323831
NAYAGARH,20.1160666,85.11195644
NELLORE,14.4493717,79.9873763
NIZAMABAD,18.6732693,78.0978477
NORTH CACHAR HILLS,25.5,93
NORTH DISTRICT,27.666667,88.5
NORTH TRIPURA,24.0921476,92.24512135
NEW DELHI,28.6141793,77.2022662
NORTH,28.4808629,77.0848883
NORTH EAST,28.4808629,77.0848883
NORTH WEST,28.4808629,77.0848883
OSMANABAD,18.1853567,76.0420253
PALAKKAD,10.80818325,76.63839415
PALI,25.75,73.5
PALWAL,28.1405741,77.3259802
PANCH MAHALS,23,74
PANCHKULA,30.6975401,76.8551066
PANIPAT,29.3912753,76.9771675
PANNA,24.5,80.25
PARBHANI,19.262469,76.7718
PATAN,23.7694,71.68852924
PATHANKOT,32.2692452,75.6528858
PATIALA,30.2389556,76.33093721
PATNA,25.6093239,85.1235252
PAURI GARHWAL,29.84591115,78.70766746
PERAMBALUR,11.2359165,78.868811
PILIBHIT,28.55,80.1
PITHORAGARH,29.55701405,80.23183521
PORBANDAR,21.6409,69.611
PRAKASAM,15.5,79.5
PRATAPGARH,24.0333495,74.7801315
PUDUCHERRY,11.9340568,79.8306447
PUDUKKOTTAI,10.5,78.833333
PULWAMA,33.8756947,74.9003129
PUNCH,33.7085899,74.2476587
PUNE,18.5203062,73.8543185
PURI,19.69951125,85.83105072
PURNEA,25.7773601,87.4731227
PURULIA,23.3698742,86.3349104
RAICHUR,16.083333,77.166667
RAIGARH,22.06655085,83.30960955
RAIPUR,20.6985098,82.16025841
RAISEN,23.25,78.083333
RAJGARH,23.833333,76.75
RAJKOT,22.3045769,70.802161
RAJOURI,33.3771375,74.3135712
RAJSAMAND,25.29331955,73.82550849
RAMANAGARA,12.7252766,77.2804797
RAMANATHAPURAM,9.3652354,78.8343193
RAMBAN,33.3297209,75.19690495
RAMPUR,28.80594795,79.05886244
RANGAREDDY,17.1333954,78.39709787
RATLAM,23.583333,75.166667
RATNAGIRI,17.2804202,73.45060909
RAYAGADA,18.96599855,84.19287455
REASI,33.2093933,74.86129599
REWA,24.75,81.5
REWARI,28.1956468,76.6165179
RI BHOI,25.89139775,91.85376526
ROHTAK,28.833333,76.666667
ROHTAS,24.94230855,84.01617749
RUDRAPRAYAG,30.3009965,79.06287965
RUPNAGAR,30.983333,76.516667
SABARKANTHA,24.0294885,73.0459884
SAGAR,23.8417793,78.7466817
SAHARANPUR,30.0196485,77.59294245
SAHARSA,26,86.75
SAHIBZADA AJIT SINGH NAGAR(MOHALI),30.7287676,76.7138075
SALEM,11.6612012,78.1602498
SAMASTIPUR,25.75,85.916667
SAMBA,32.57272925,75.17594912
SAMBALPUR,21.4,83.883333
SANGLI,16.8502534,74.5948885
SANGRUR,30.2432006,75.8358123
SANT KABIR NAGAR,26.75664945,83.1362123
SANT RAVIDAS NAGAR,25.3560294,82.50057725
SARAN,25.916667,84.75
SATARA,17.64154745,74.30566452
SATNA,24.5,81
SAWAI MADHOPUR,26.5,76.75
SEHORE,23.25,77.25
SENAPATI,25.39336975,94.15051748
SEONI,22.416667,79.666667
SHAHDOL,23.5,81.5
SHAHJAHANPUR,27.82877265,79.82471527
SHAJAPUR,23.5,76.25
SHEKHPURA,26.166667,84.5
SHEOHAR,26.4863226,85.26901003
SHIMLA,31.1041526,77.1709729
SHIMOGA,13.9311723,75.569737
SHIVPURI,25.5,78
SHUPIYAN,33.718807,74.8333311
SIDDHARTH NAGAR,27.25264095,82.86964796
SIDHI,24.25,82
SIKAR,27.583333,75.166667
SINDHUDURG,16.13282095,73.65739818
SINGRAULI,24.1974432,82.6661453
SIRMAUR,30.75,77.5
SIROHI,24.833333,72.75
SIRSA,29.583333,75.083333
SITAMARHI,26.666667,85.5
SITAPUR,27.62656625,80.6824125
SIVAGANGA,9.8486881,78.4870461
SIVASAGAR,26.9834936,94.6394226
SIWAN,26.166667,84.5
SOLAN,30.92589585,77.08200509
SOLAPUR,17.6715272,75.8975502
SONBHADRA,24.38657525,83.07863061
SONEPUR,20.8453864,83.909083
SONITPUR,26.76777075,92.70140886
SOUTH DISTRICT,27.333333,88.416667
SOUTH TRIPURA,23.5,91.666667
SRIKAKULAM,18.32002205,83.9160772
SRINAGAR,34.0747444,74.8204443
SULTANPUR,26.25,82
SUNDARGARH,22.25,84.5
SUPAUL,26.2795226,86.78994114
SURAT,21.1864607,72.8081281
SURENDRANAGAR,22.75,71.666667
SURGUJA,23.25,83
SOUTH,28.63373755,77.03342733
SOUTH WEST,28.4808629,77.0848883
SURAJPUR,23.212528,82.8667246
TAPI,21.190545,73.5587462
TARN TARAN,31.32515685,74.83263932
THANE,19.1943294,72.9701779
THANJAVUR,10.7860267,79.1381497
THE NILGIRIS,11.4,76.7
THENI,10.0108143,77.4810104
THIRUVALLUR,13.1394358,79.9073038
THIRUVARUR,10.7666538,79.6352476
THOOTHUKUDI,8.8052602,78.1452745
THOUBAL,25.0339746,94.3582034
THRISSUR,10.5256633,76.2131442
TIKAMGARH,24.75,79
TINSUKIA,27.52016575,95.53063473
TIRAP,27.5013437,96.5242944
TIRUCHIRAPPALLI,10.804973,78.6870296
TIRUNELVELI,8.7295261,77.6852354
TIRUPUR,11.1671878,77.3472673
TIRUVANNAMALAI,12.2343228,79.0761989
TONK,26.1647019,75.576596
TRIVANDRUM,8.5058909,76.9570481
TUMKUR,13.4999406,77.0002445
U SIANG,28.1701779,94.79801
UDAIPUR,24.578721,73.6862571
UDALGURI,26.7764803,92.10537534
UDHAM SINGH NAGAR,29.0480988,79.43131332
UDHAMPUR,32.9219726,75.1331482
UJJAIN,23.174597,75.7851423
UMARIA,23.5245108,80.8364652
UNA,31.583333,76.25
UNNAO,26.5,80.5
UTTARKASHI,31,78.5
VADODARA,22.297076,73.1957373
VAISHALI,25.75,85.416667
VALSAD,20.43342955,73.14844419
VARANASI,25.3356491,83.0076292
VELLORE,12.9071753,79.1309695
VIDISHA,23.916667,78
VILLUPPURAM,11.94596,79.497414
VIRUDHUNAGAR,9.5822396,77.9536831
VISAKHAPATNAM,17.7231276,83.3012842
W KAMENG,27.4,92.35
W SIANG,28.4,94.55
WARANGAL,17.9899747,79.6043994
WARDHA,20.4355888,78.6463504
WASHIM,20.30660915,77.2420018
WEST DISTRICT,27.333333,88.25
WEST GARO HILLS,25.60780175,90.20380106
WEST GODAVARI,17,81.166667
WEST TRIPURA,23.916667,91.5
WOKHA,26.0978958,94.2548445
WEST,28.4808629,77.0848883
YADAGIRI,16.7689044,77.1380381
